event_frame,last_seen_frame,missing_id,last_xmin,last_ymin,last_xmax,last_ymax,expanded_xmin,expanded_ymin,expanded_xmax,expanded_ymax,width,height,recovered_team,recovered_score,raw_frame_path,annotated_frame_path
49,48,7,1036,326,1068,397,1020,290,1084,432,32,71,red team,0.049076,debug_v2/missing_ids/raw_frames/frame_000049_missing_7.jpg,debug_v2/missing_ids/annotated_frames/frame_000049_missing_7.jpg
56,55,22,1488,65,1506,109,1479,43,1515,131,18,44,red team,0.308712,debug_v2/missing_ids/raw_frames/frame_000056_missing_22.jpg,debug_v2/missing_ids/annotated_frames/frame_000056_missing_22.jpg
82,81,11,1903,505,1920,577,1894,469,1919,613,17,72,unknown,0.000000,debug_v2/missing_ids/raw_frames/frame_000082_missing_11.jpg,debug_v2/missing_ids/annotated_frames/frame_000082_missing_11.jpg
113,112,19,17,589,48,645,2,561,64,673,31,56,unknown,0.000000,debug_v2/missing_ids/raw_frames/frame_000113_missing_19.jpg,debug_v2/missing_ids/annotated_frames/frame_000113_missing_19.jpg
115,114,21,0,607,21,730,0,546,32,792,21,123,unknown,0.000000,debug_v2/missing_ids/raw_frames/frame_000115_missing_21.jpg,debug_v2/missing_ids/annotated_frames/frame_000115_missing_21.jpg
122,121,7,758,398,795,470,740,362,814,506,37,72,white team,0.006663,debug_v2/missing_ids/raw_frames/frame_000122_missing_7.jpg,debug_v2/missing_ids/annotated_frames/frame_000122_missing_7.jpg
129,128,13,35,389,73,477,16,345,92,521,38,88,white team,0.013532,debug_v2/missing_ids/raw_frames/frame_000129_missing_13.jpg,debug_v2/missing_ids/annotated_frames/frame_000129_missing_13.jpg
135,134,12,0,414,20,520,0,361,30,573,20,106,unknown,0.000000,debug_v2/missing_ids/raw_frames/frame_000135_missing_12.jpg,debug_v2/missing_ids/annotated_frames/frame_000135_missing_12.jpg
141,140,7,586,439,614,522,572,398,628,564,28,83,white team,0.078528,debug_v2/missing_ids/raw_frames/frame_000141_missing_7.jpg,debug_v2/missing_ids/annotated_frames/frame_000141_missing_7.jpg
164,163,26,772,50,793,111,762,20,804,142,21,61,red team,0.193404,debug_v2/missing_ids/raw_frames/frame_000164_missing_26.jpg,debug_v2/missing_ids/annotated_frames/frame_000164_missing_26.jpg
166,165,25,1606,82,1650,125,1584,60,1672,146,44,43,red team,0.236390,debug_v2/missing_ids/raw_frames/frame_000166_missing_25.jpg,debug_v2/missing_ids/annotated_frames/frame_000166_missing_25.jpg
173,172,9,1240,710,1288,797,1216,666,1312,840,48,87,red team,0.022989,debug_v2/missing_ids/raw_frames/frame_000173_missing_9.jpg,debug_v2/missing_ids/annotated_frames/frame_000173_missing_9.jpg
178,177,25,1746,24,1764,74,1737,0,1773,99,18,50,white team,0.222783,debug_v2/missing_ids/raw_frames/frame_000178_missing_25.jpg,debug_v2/missing_ids/annotated_frames/frame_000178_missing_25.jpg
