event_frame,last_seen_frame,missing_id,last_xmin,last_ymin,last_xmax,last_ymax,expanded_xmin,expanded_ymin,expanded_xmax,expanded_ymax,width,height,recovered_team,recovered_score,recovered_box_count,recovered_boxes,raw_frame_path,filtered_frame_path
49,48,7,1036,326,1068,397,1012,272,1092,450,32,71,red team,0.030618,3,1070:362:1084:394|1056:318:1066:336|1058:304:1064:312,debug_v3/missing_ids/raw_frames/frame_000049_missing_7.jpg,debug_v3/missing_ids/filtered_frames/frame_000049_missing_7.jpg
56,55,22,1488,65,1506,109,1474,32,1520,142,18,44,red team,0.308103,4,1490:132:1506:142|1474:80:1520:136|1502:44:1508:49|1498:32:1520:38,debug_v3/missing_ids/raw_frames/frame_000056_missing_22.jpg,debug_v3/missing_ids/filtered_frames/frame_000056_missing_22.jpg
122,121,7,758,398,795,470,730,344,822,524,37,72,white team,0.025242,1,730:414:744:454,debug_v3/missing_ids/raw_frames/frame_000122_missing_7.jpg,debug_v3/missing_ids/filtered_frames/frame_000122_missing_7.jpg
141,140,7,586,439,614,522,565,376,635,584,28,83,white team,0.049794,1,586:453:606:514,debug_v3/missing_ids/raw_frames/frame_000141_missing_7.jpg,debug_v3/missing_ids/filtered_frames/frame_000141_missing_7.jpg
164,163,26,772,50,793,111,756,4,808,156,21,61,red team,0.238360,5,758:72:808:106|784:46:798:66|760:29:768:38|756:19:760:26|756:4:808:40,debug_v3/missing_ids/raw_frames/frame_000164_missing_26.jpg,debug_v3/missing_ids/filtered_frames/frame_000164_missing_26.jpg
166,165,25,1606,82,1650,125,1573,50,1683,158,44,43,red team,0.216667,4,1582:116:1624:128|1624:94:1648:114|1648:76:1683:90|1573:76:1630:118,debug_v3/missing_ids/raw_frames/frame_000166_missing_25.jpg,debug_v3/missing_ids/filtered_frames/frame_000166_missing_25.jpg
173,172,9,1240,710,1288,797,1204,644,1324,862,48,87,red team,0.016323,1,1290:736:1316:772,debug_v3/missing_ids/raw_frames/frame_000173_missing_9.jpg,debug_v3/missing_ids/filtered_frames/frame_000173_missing_9.jpg
189,188,17,1310,738,1377,832,1260,668,1428,902,67,94,red team,0.023428,4,1320:822:1334:842|1356:798:1368:806|1318:772:1352:812|1316:750:1326:762,debug_v3/missing_ids/raw_frames/frame_000189_missing_17.jpg,debug_v3/missing_ids/filtered_frames/frame_000189_missing_17.jpg
219,218,15,814,387,842,465,793,328,863,524,28,78,red team,0.031633,2,804:456:816:465|824:408:848:446,debug_v3/missing_ids/raw_frames/frame_000219_missing_15.jpg,debug_v3/missing_ids/filtered_frames/frame_000219_missing_15.jpg
224,223,7,803,388,857,481,762,318,898,550,54,93,white team,0.016227,2,845:442:856:450|848:401:870:436,debug_v3/missing_ids/raw_frames/frame_000224_missing_7.jpg,debug_v3/missing_ids/filtered_frames/frame_000224_missing_7.jpg
264,263,7,968,449,1011,540,936,380,1044,608,43,91,red team,0.019615,4,968:524:974:532|988:482:995:488|974:476:997:512|992:474:1000:482,debug_v3/missing_ids/raw_frames/frame_000264_missing_7.jpg,debug_v3/missing_ids/filtered_frames/frame_000264_missing_7.jpg
301,300,23,101,75,137,126,74,36,164,164,36,51,red team,0.150521,4,128:60:160:90|94:60:130:90|74:60:96:84|74:38:164:44,debug_v3/missing_ids/raw_frames/frame_000301_missing_23.jpg,debug_v3/missing_ids/filtered_frames/frame_000301_missing_23.jpg
302,301,6,1406,280,1432,344,1386,232,1452,392,26,64,unknown,0.000000,0,,debug_v3/missing_ids/raw_frames/frame_000302_missing_6.jpg,debug_v3/missing_ids/filtered_frames/frame_000302_missing_6.jpg
328,327,6,1200,277,1246,355,1166,218,1280,414,46,78,white team,0.067714,4,1178:356:1202:414|1236:340:1241:348|1216:338:1230:354|1222:295:1245:335,debug_v3/missing_ids/raw_frames/frame_000328_missing_6.jpg,debug_v3/missing_ids/filtered_frames/frame_000328_missing_6.jpg
426,425,6,1232,305,1256,386,1214,244,1274,446,24,81,white team,0.066254,3,1234:373:1240:378|1248:371:1253:379|1232:322:1254:367,debug_v3/missing_ids/raw_frames/frame_000426_missing_6.jpg,debug_v3/missing_ids/filtered_frames/frame_000426_missing_6.jpg
454,453,2,1483,413,1531,483,1447,360,1567,536,48,70,white team,0.049574,2,1528:530:1540:536|1522:466:1546:526,debug_v3/missing_ids/raw_frames/frame_000454_missing_2.jpg,debug_v3/missing_ids/filtered_frames/frame_000454_missing_2.jpg
480,479,6,1332,338,1370,422,1304,275,1398,485,38,84,white team,0.059625,2,1328:414:1342:432|1326:358:1355:410,debug_v3/missing_ids/raw_frames/frame_000480_missing_6.jpg,debug_v3/missing_ids/filtered_frames/frame_000480_missing_6.jpg
499,498,4,697,576,738,679,666,498,768,756,41,103,white team,0.061180,3,697:699:703:704|689:613:728:698|706:602:712:608,debug_v3/missing_ids/raw_frames/frame_000499_missing_4.jpg,debug_v3/missing_ids/filtered_frames/frame_000499_missing_4.jpg
502,501,2,1302,408,1366,510,1254,332,1414,586,64,102,white team,0.033342,3,1282:491:1306:513|1282:429:1306:488|1306:416:1317:420,debug_v3/missing_ids/raw_frames/frame_000502_missing_2.jpg,debug_v3/missing_ids/filtered_frames/frame_000502_missing_2.jpg
523,522,35,1490,146,1523,228,1466,84,1548,290,33,82,red team,0.056121,7,1516:138:1522:146|1476:128:1490:140|1522:116:1540:142|1482:112:1490:122|1528:96:1538:106|1498:88:1510:102|1476:84:1496:104,debug_v3/missing_ids/raw_frames/frame_000523_missing_35.jpg,debug_v3/missing_ids/filtered_frames/frame_000523_missing_35.jpg
555,554,3,773,371,802,460,752,304,824,526,29,89,white team,0.113301,3,779:482:786:500|752:481:760:490|764:390:804:478,debug_v3/missing_ids/raw_frames/frame_000555_missing_3.jpg,debug_v3/missing_ids/filtered_frames/frame_000555_missing_3.jpg
575,574,41,1763,304,1804,361,1732,262,1834,404,41,57,white team,0.171500,4,1732:369:1834:404|1791:357:1798:368|1763:341:1789:368|1786:327:1802:352,debug_v3/missing_ids/raw_frames/frame_000575_missing_41.jpg,debug_v3/missing_ids/filtered_frames/frame_000575_missing_41.jpg
602,601,43,398,204,425,261,378,162,446,304,27,57,red team,0.409072,1,378:187:446:260,debug_v3/missing_ids/raw_frames/frame_000602_missing_43.jpg,debug_v3/missing_ids/filtered_frames/frame_000602_missing_43.jpg
629,628,6,1174,316,1210,393,1147,258,1237,450,36,77,red team,0.344444,5,1147:328:1237:414|1207:277:1216:282|1147:268:1156:272|1216:262:1232:266|1184:262:1198:266,debug_v3/missing_ids/raw_frames/frame_000629_missing_6.jpg,debug_v3/missing_ids/filtered_frames/frame_000629_missing_6.jpg
690,689,44,937,445,969,544,913,370,993,618,32,99,red team,0.000806,0,,debug_v3/missing_ids/raw_frames/frame_000690_missing_44.jpg,debug_v3/missing_ids/filtered_frames/frame_000690_missing_44.jpg
694,693,6,1651,319,1678,348,1630,298,1698,370,27,29,red team,0.289216,4,1648:362:1654:370|1630:335:1698:370|1666:304:1670:315|1680:298:1688:304,debug_v3/missing_ids/raw_frames/frame_000694_missing_6.jpg,debug_v3/missing_ids/filtered_frames/frame_000694_missing_6.jpg
706,705,3,1317,587,1363,711,1282,494,1398,804,46,124,white team,0.042214,2,1308:694:1331:728|1323:627:1358:720,debug_v3/missing_ids/raw_frames/frame_000706_missing_3.jpg,debug_v3/missing_ids/filtered_frames/frame_000706_missing_3.jpg
709,708,15,699,567,751,675,660,486,790,756,52,108,red team,0.038661,6,722:688:730:694|716:674:728:686|708:664:716:672|676:661:692:690|710:604:722:622|680:594:710:657,debug_v3/missing_ids/raw_frames/frame_000709_missing_15.jpg,debug_v3/missing_ids/filtered_frames/frame_000709_missing_15.jpg
723,722,47,186,251,222,274,159,234,249,292,36,23,red team,0.309770,6,159:271:249:292|159:262:166:267|184:256:210:272|176:254:191:258|159:254:166:258|240:249:249:254,debug_v3/missing_ids/raw_frames/frame_000723_missing_47.jpg,debug_v3/missing_ids/filtered_frames/frame_000723_missing_47.jpg
