event_frame,last_seen_frame,missing_id,last_xmin,last_ymin,last_xmax,last_ymax,expanded_xmin,expanded_ymin,expanded_xmax,expanded_ymax,width,height,recovered_team,recovered_score,recovered_box_count,recovered_boxes,raw_frame_path,annotated_frame_path
49,48,7,1036,326,1068,397,1012,272,1092,450,32,71,white team,0.024482,2,1071:366:1083:396:red team|1059:342:1071:375:white team,debug_v7/missing_ids/raw_frames/frame_000049_missing_7.jpg,debug_v7/missing_ids/annotated_frames/frame_000049_missing_7.jpg
56,55,22,1488,65,1506,109,1474,32,1520,142,18,44,red team,0.404514,4,1473:105:1521:138:red team|1476:75:1518:99:red team|1491:33:1518:48:red team|1479:60:1521:72:white team,debug_v7/missing_ids/raw_frames/frame_000056_missing_22.jpg,debug_v7/missing_ids/annotated_frames/frame_000056_missing_22.jpg
122,121,7,758,398,795,470,730,344,822,524,37,72,white team,0.024194,1,729:414:741:450:white team,debug_v7/missing_ids/raw_frames/frame_000122_missing_7.jpg,debug_v7/missing_ids/annotated_frames/frame_000122_missing_7.jpg
141,140,7,586,439,614,522,565,376,635,584,28,83,white team,0.048810,2,564:462:585:504:red team|585:453:606:495:white team,debug_v7/missing_ids/raw_frames/frame_000141_missing_7.jpg,debug_v7/missing_ids/annotated_frames/frame_000141_missing_7.jpg
164,163,26,772,50,793,111,756,4,808,156,21,61,red team,0.355248,6,798:99:807:111:red team|777:78:804:99:red team|756:78:774:105:red team|756:0:807:60:red team|762:108:807:135:white team|798:48:807:60:white team,debug_v7/missing_ids/raw_frames/frame_000164_missing_26.jpg,debug_v7/missing_ids/annotated_frames/frame_000164_missing_26.jpg
166,165,25,1606,82,1650,125,1573,50,1683,158,44,43,red team,0.217718,3,1647:81:1662:90:red team|1572:78:1638:129:red team|1638:93:1683:120:white team,debug_v7/missing_ids/raw_frames/frame_000166_missing_25.jpg,debug_v7/missing_ids/annotated_frames/frame_000166_missing_25.jpg
173,172,9,1240,710,1288,797,1204,644,1324,862,48,87,red team,0.010069,2,1296:741:1314:759:red team|1278:723:1290:738:white team,debug_v7/missing_ids/raw_frames/frame_000173_missing_9.jpg,debug_v7/missing_ids/annotated_frames/frame_000173_missing_9.jpg
189,188,17,1310,738,1377,832,1260,668,1428,902,67,94,red team,0.024038,2,1317:753:1347:813:red team|1326:738:1338:753:white team,debug_v7/missing_ids/raw_frames/frame_000189_missing_17.jpg,debug_v7/missing_ids/annotated_frames/frame_000189_missing_17.jpg
219,218,15,814,387,842,465,793,328,863,524,28,78,red team,0.039773,3,825:408:849:447:red team|837:417:849:435:white team|834:396:852:408:white team,debug_v7/missing_ids/raw_frames/frame_000219_missing_15.jpg,debug_v7/missing_ids/annotated_frames/frame_000219_missing_15.jpg
224,223,7,803,388,857,481,762,318,898,550,54,93,white team,0.018182,2,852:435:867:453:red team|849:399:870:429:white team,debug_v7/missing_ids/raw_frames/frame_000224_missing_7.jpg,debug_v7/missing_ids/annotated_frames/frame_000224_missing_7.jpg
